# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_coding_transcript_exon_variant	variants_effect_non_coding_transcript_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_stop_gained	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
ENSCPGE00000000457	GENE_ENSCPGE00000000457	transcript:ENSCPGT00000000074	protein_coding	0	4	2	170	5	0	0	29	83	2	0	0	0	1	0	3	54
ENSCPGE00000000598	GENE_ENSCPGE00000000598	transcript:ENSCPGT00000000094	protein_coding	0	0	1	61	0	0	0	20	26	1	0	0	0	0	0	0	15
ENSCPGE00000000624	GENE_ENSCPGE00000000624	transcript:ENSCPGT00000000097	protein_coding	0	1	3	107	5	0	0	16	70	3	0	0	0	1	0	0	17
ENSCPGE00000000728	GENE_ENSCPGE00000000728	transcript:ENSCPGT00000000116	protein_coding	0	1	8	547	17	0	1	28	480	8	0	0	0	0	0	1	21
ENSCPGE00000000855	GENE_ENSCPGE00000000855	transcript:ENSCPGT00000000140	protein_coding	0	1	8	655	0	0	0	13	610	8	0	0	0	0	0	1	32
ENSCPGE00000000855	GENE_ENSCPGE00000000855	transcript:ENSCPGT00000000167	protein_coding	0	1	8	499	0	0	1	13	464	8	0	0	0	0	0	1	21
ENSCPGE00000000997	GENE_ENSCPGE00000000997	transcript:ENSCPGT00000000631	protein_coding	0	5	4	245	0	0	0	39	168	4	0	0	0	1	0	4	39
ENSCPGE00000001085	GENE_ENSCPGE00000001085	transcript:ENSCPGT00000000186	protein_coding	0	0	3	91	0	0	0	28	45	3	0	0	0	0	0	0	18
ENSCPGE00000001120	GENE_ENSCPGE00000001120	transcript:ENSCPGT00000000206	protein_coding	0	0	0	135	3	0	0	28	63	0	0	0	0	0	0	0	41
ENSCPGE00000001425	GENE_ENSCPGE00000001425	transcript:ENSCPGT00000000254	protein_coding	0	3	10	137	0	0	2	18	99	10	0	0	0	0	0	3	18
ENSCPGE00000001535	GENE_ENSCPGE00000001535	transcript:ENSCPGT00000000265	protein_coding	0	4	10	136	0	0	0	18	100	10	0	0	0	0	0	4	18
ENSCPGE00000001650	GENE_ENSCPGE00000001650	transcript:ENSCPGT00000000288	protein_coding	0	2	0	59	0	0	0	20	12	0	0	0	0	0	0	2	27
ENSCPGE00000003849	GENE_ENSCPGE00000003849	transcript:ENSCPGT00000000692	protein_coding	0	5	4	244	0	0	0	39	168	4	0	0	0	1	0	4	38
ENSCPGE00000003849	GENE_ENSCPGE00000003849	transcript:ENSCPGT00000000838	protein_coding	0	4	2	235	0	0	0	37	161	2	0	0	0	1	0	3	38
ENSCPGE00000003849	GENE_ENSCPGE00000003849	transcript:ENSCPGT00000000877	protein_coding	0	5	2	220	0	0	0	28	155	2	0	0	0	1	0	4	38
ENSCPGE00000003849	GENE_ENSCPGE00000003849	transcript:ENSCPGT00000000897	protein_coding	0	6	3	205	0	0	0	24	144	3	0	0	0	1	0	5	38
ENSCPGE00000003849	GENE_ENSCPGE00000003849	transcript:ENSCPGT00000000900	protein_coding	0	7	3	204	0	0	0	24	143	3	0	0	0	2	0	6	38
ENSCPGE00000003988	GENE_ENSCPGE00000003988	transcript:ENSCPGT00000000664	protein_coding	0	2	1	66	0	0	0	14	42	1	0	0	0	1	0	1	11
ENSCPGE00000004152	GENE_ENSCPGE00000004152	transcript:ENSCPGT00000000744	protein_coding	0	6	2	234	0	0	0	35	162	2	0	0	0	1	0	5	38
ENSCPGE00000004443	GENE_ENSCPGE00000004443	transcript:ENSCPGT00000000782	protein_coding	0	8	3	231	0	0	0	35	161	3	0	0	0	3	0	5	38
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000896	protein_coding	0	2	1	65	0	0	0	15	40	1	0	0	0	1	0	1	11
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000901	protein_coding	0	2	1	65	0	0	0	15	40	1	0	0	0	1	0	1	11
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000907	protein_coding	0	2	1	65	0	0	0	15	40	1	0	0	0	1	0	1	11
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000922	protein_coding	0	1	1	66	0	0	0	15	40	1	0	0	0	0	0	1	11
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000944	protein_coding	0	2	1	65	0	0	0	15	40	1	0	0	0	1	0	1	11
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000948	protein_coding	0	2	1	65	0	0	0	15	40	1	0	0	0	1	0	1	11
ENSCPGE00000004972	GENE_ENSCPGE00000004972	transcript:ENSCPGT00000000949	protein_coding	0	1	1	66	0	0	0	15	40	1	0	0	0	0	0	1	11
ENSCPGE00000005488	GENE_ENSCPGE00000005488	transcript:ENSCPGT00000000937	protein_coding	0	0	0	167	2	0	0	23	113	0	0	0	0	0	0	0	29
ENSCPGE00000005775	GENE_ENSCPGE00000005775	transcript:ENSCPGT00000000994	protein_coding	0	2	0	97	7	0	0	43	16	0	0	0	0	0	0	2	31
ENSCPGE00000005895	GENE_ENSCPGE00000005895	transcript:ENSCPGT00000001013	protein_coding	0	4	3	48	0	0	0	0	42	3	0	0	0	1	0	3	7
ENSCPGE00000005895	GENE_ENSCPGE00000005895	transcript:ENSCPGT00000001021	protein_coding	0	4	3	48	0	0	0	0	42	3	0	0	0	1	0	3	7
ENSCPGE00000005927	GENE_ENSCPGE00000005927	transcript:ENSCPGT00000001019	protein_coding	0	6	5	165	1	1	4	28	97	5	0	0	0	2	0	4	36
ENSCPGE00000006016	GENE_ENSCPGE00000006016	transcript:ENSCPGT00000001036	protein_coding	0	4	2	142	3	0	0	41	67	2	0	0	0	1	0	3	32
ENSCPGE00000006613	GENE_ENSCPGE00000006613	transcript:ENSCPGT00000001310	protein_coding	1	25	42	1110	0	0	0	33	1035	42	0	0	1	3	0	23	45
ENSCPGE00000007894	GENE_ENSCPGE00000007894	transcript:ENSCPGT00000001445	protein_coding	0	16	19	1090	0	0	0	33	1015	19	0	0	0	2	0	16	42
ENSCPGE00000008825	GENE_ENSCPGE00000008825	transcript:ENSCPGT00000001472	protein_coding	0	3	0	414	1	1	7	19	357	0	0	0	0	0	0	2	30
ENSCPGE00000008981	GENE_ENSCPGE00000008981	transcript:ENSCPGT00000001493	protein_coding	1	1	2	68	0	0	1	18	28	2	0	0	1	0	0	1	22
ENSCPGE00000009143	GENE_ENSCPGE00000009143	transcript:ENSCPGT00000001523	protein_coding	0	1	1	36	0	0	0	13	0	1	0	0	0	0	0	1	23
ENSCPGE00000009221	GENE_ENSCPGE00000009221	transcript:ENSCPGT00000001539	protein_coding	0	5	2	432	6	0	0	28	359	2	0	0	0	0	0	5	39
ENSCPGE00000009359	GENE_ENSCPGE00000009359	transcript:ENSCPGT00000001553	protein_coding	0	5	2	426	6	0	0	28	358	2	0	0	0	0	0	5	34
ENSCPGE00000009359	GENE_ENSCPGE00000009359	transcript:ENSCPGT00000001578	protein_coding	0	5	2	426	6	0	0	28	358	2	0	0	0	0	0	5	34
ENSCPGE00000009574	GENE_ENSCPGE00000009574	transcript:ENSCPGT00000001585	protein_coding	0	5	2	389	6	0	1	28	324	2	0	0	0	0	0	5	30
ENSCPGE00000009646	GENE_ENSCPGE00000009646	transcript:ENSCPGT00000001601	protein_coding	1	5	5	40	0	0	0	21	0	5	0	0	0	0	1	5	19
ENSCPGE00000010137	GENE_ENSCPGE00000010137	transcript:ENSCPGT00000001676	protein_coding	0	1	3	229	0	0	0	18	182	3	0	0	0	0	0	1	29
ENSCPGE00000010232	GENE_ENSCPGE00000010232	transcript:ENSCPGT00000001692	protein_coding	0	1	3	185	5	0	0	22	146	3	0	0	0	0	0	1	12
ENSCPGE00000010633	GENE_ENSCPGE00000010633	transcript:ENSCPGT00000001731	protein_coding	0	0	1	643	0	0	0	15	609	1	0	0	0	0	0	0	19
ENSCPGE00000011030	GENE_ENSCPGE00000011030	transcript:ENSCPGT00000001773	protein_coding	0	7	13	958	0	1	3	27	899	13	0	0	0	2	0	5	30
ENSCPGE00000011030	GENE_ENSCPGE00000011030	transcript:ENSCPGT00000001781	protein_coding	0	6	13	889	0	0	0	27	835	13	0	0	0	2	0	5	28
ENSCPGE00000011030	GENE_ENSCPGE00000011030	transcript:ENSCPGT00000001810	protein_coding	0	6	13	889	0	0	0	27	835	13	0	0	0	2	0	5	28
ENSCPGE00000011030	GENE_ENSCPGE00000011030	transcript:ENSCPGT00000001849	protein_coding	0	6	11	891	0	0	0	27	837	11	0	0	0	1	0	5	28
ENSCPGE00000011030	GENE_ENSCPGE00000011030	transcript:ENSCPGT00000001923	protein_coding	0	6	13	889	0	0	0	27	835	13	0	0	0	2	0	5	28
ENSCPGE00000012011	GENE_ENSCPGE00000012011	transcript:ENSCPGT00000001935	protein_coding	0	3	2	676	2	0	0	24	622	2	0	0	0	0	0	3	28
ENSCPGE00000012144	GENE_ENSCPGE00000012144	transcript:ENSCPGT00000001960		0	0	0	215	0	0	0	26	146	0	2	0	0	0	0	0	41
ENSCPGE00000012160	GENE_ENSCPGE00000012160	transcript:ENSCPGT00000001969	protein_coding	0	0	0	168	0	0	1	17	135	0	0	0	0	0	0	0	15
ENSCPGE00000012522	GENE_ENSCPGE00000012522	transcript:ENSCPGT00000002029	protein_coding	0	6	4	2358	0	0	0	23	2312	4	0	0	0	5	0	2	27
ENSCPGE00000012522	GENE_ENSCPGE00000012522	transcript:ENSCPGT00000002050	protein_coding	0	6	4	2358	0	0	0	23	2312	4	0	0	0	5	0	2	27
ENSCPGE00000012522	GENE_ENSCPGE00000012522	transcript:ENSCPGT00000002129	protein_coding	0	6	4	2358	0	0	0	23	2312	4	0	0	0	5	0	2	27
ENSCPGE00000013424	GENE_ENSCPGE00000013424	transcript:ENSCPGT00000002185	protein_coding	0	5	4	2293	0	0	0	37	2232	4	0	0	0	4	0	2	27
ENSCPGE00000013930	GENE_ENSCPGE00000013930	transcript:ENSCPGT00000002274		0	0	0	87	0	0	0	23	24	0	15	0	0	0	0	0	25
ENSCPGE00000013985	GENE_ENSCPGE00000013985	transcript:ENSCPGT00000002288	protein_coding	0	1	0	302	5	0	1	25	230	0	0	0	0	0	0	1	41
ENSCPGE00000013985	GENE_ENSCPGE00000013985	transcript:ENSCPGT00000002289	protein_coding	0	1	0	176	0	0	1	22	112	0	0	0	0	0	0	1	41
ENSCPGE00000013985	GENE_ENSCPGE00000013985	transcript:ENSCPGT00000002308	protein_coding	0	1	0	176	0	0	1	22	112	0	0	0	0	0	0	1	41
ENSCPGE00000014277	GENE_ENSCPGE00000014277	transcript:ENSCPGT00000002327	protein_coding	0	3	3	87	0	0	2	30	31	3	0	0	0	1	0	2	25
ENSCPGE00000014392	GENE_ENSCPGE00000014392	transcript:ENSCPGT00000002346		0	0	0	35	0	0	0	19	0	0	0	0	0	0	0	0	16
ENSCPGE00000014441	GENE_ENSCPGE00000014441	transcript:ENSCPGT00000002353	protein_coding	0	4	1	397	2	0	3	29	332	1	0	0	0	1	0	3	32
ENSCPGE00000014515	GENE_ENSCPGE00000014515	transcript:ENSCPGT00000002372	protein_coding	0	6	1	191	0	0	0	21	144	1	0	0	0	0	0	6	26
ENSCPGE00000014587	GENE_ENSCPGE00000014587	transcript:ENSCPGT00000002385		0	0	0	684	0	0	0	31	625	0	3	0	0	0	0	0	25
ENSCPGE00000014587	GENE_ENSCPGE00000014587	transcript:ENSCPGT00000002386		0	0	0	328	0	0	0	31	256	0	2	0	0	0	0	0	39
ENSCPGE00000014714	GENE_ENSCPGE00000014714	transcript:ENSCPGT00000002403	protein_coding	0	3	1	528	0	0	1	28	464	1	0	0	0	1	0	3	35
ENSCPGE00000014714	GENE_ENSCPGE00000014714	transcript:ENSCPGT00000002415	protein_coding	0	3	1	528	0	0	1	28	464	1	0	0	0	1	0	3	35
ENSCPGE00000014714	GENE_ENSCPGE00000014714	transcript:ENSCPGT00000002446	protein_coding	0	3	1	528	0	0	1	28	464	1	0	0	0	1	0	3	35
ENSCPGE00000014992	GENE_ENSCPGE00000014992	transcript:ENSCPGT00000002459		0	0	0	55	0	0	0	23	0	0	0	0	0	0	0	0	32
ENSCPGE00000015051	GENE_ENSCPGE00000015051	transcript:ENSCPGT00000002474	protein_coding	0	1	2	135	0	0	0	28	57	2	0	0	0	0	0	1	50
ENSCPGE00000015237	GENE_ENSCPGE00000015237	transcript:ENSCPGT00000002497	protein_coding	0	8	2	925	1	0	1	29	873	2	0	0	0	2	0	7	22
ENSCPGE00000015516	GENE_ENSCPGE00000015516	transcript:ENSCPGT00000002549	protein_coding	0	8	2	920	2	0	1	26	870	2	0	0	0	2	0	7	22
ENSCPGE00000015915	GENE_ENSCPGE00000015915	transcript:ENSCPGT00000002612	protein_coding	0	3	2	522	6	0	1	27	467	2	0	0	0	1	0	2	22
ENSCPGE00000016162	GENE_ENSCPGE00000016162	transcript:ENSCPGT00000002659		0	0	0	67	0	0	0	26	3	0	8	0	0	0	0	0	30
ENSCPGE00000016292	GENE_ENSCPGE00000016292	transcript:ENSCPGT00000002675	protein_coding	0	4	6	1164	0	0	1	24	1109	6	0	0	0	2	0	2	32
ENSCPGE00000016292	GENE_ENSCPGE00000016292	transcript:ENSCPGT00000002720	protein_coding	0	4	6	733	0	0	0	24	690	6	0	0	0	2	0	2	21
ENSCPGE00000016804	GENE_ENSCPGE00000016804	transcript:ENSCPGT00000002764	protein_coding	0	2	2	1178	3	0	1	32	1115	2	0	0	0	0	0	2	27
ENSCPGE00000017110	GENE_ENSCPGE00000017110	transcript:ENSCPGT00000002810	protein_coding	0	4	0	1176	13	0	1	41	1094	0	0	0	0	3	0	1	30
ENSCPGE00000017164	GENE_ENSCPGE00000017164	transcript:ENSCPGT00000002824	protein_coding	0	3	0	912	13	0	1	41	821	0	0	0	0	2	0	1	38
ENSCPGE00000017338	GENE_ENSCPGE00000017338	transcript:ENSCPGT00000002843	protein_coding	0	2	2	135	4	0	2	44	45	2	0	0	0	0	0	2	40
ENSCPGE00000017482	GENE_ENSCPGE00000017482	transcript:ENSCPGT00000002863	protein_coding	1	3	1	165	1	0	0	31	111	1	0	0	1	0	0	3	23
ENSCPGE00000017630	GENE_ENSCPGE00000017630	transcript:ENSCPGT00000002887	protein_coding	0	1	0	113	1	0	3	34	44	0	0	0	0	0	0	1	31
ENSCPGE00000017709	GENE_ENSCPGE00000017709	transcript:ENSCPGT00000002894	protein_coding	0	1	1	110	6	0	2	34	38	1	0	0	0	0	0	1	30
ENSCPGE00000018055	GENE_ENSCPGE00000018055	transcript:ENSCPGT00000002953	protein_coding	0	6	4	148	0	0	0	27	94	4	0	0	0	0	0	6	27
ENSCPGE00000018055	GENE_ENSCPGE00000018055	transcript:ENSCPGT00000002977	protein_coding	0	5	3	138	0	0	0	27	77	3	0	0	0	0	0	5	34
ENSCPGE00000018425	GENE_ENSCPGE00000018425	transcript:ENSCPGT00000003011	protein_coding	0	5	1	135	1	0	0	32	79	1	0	0	0	2	0	3	25
ENSCPGE00000018425	GENE_ENSCPGE00000018425	transcript:ENSCPGT00000003029	protein_coding	0	5	1	135	1	0	0	32	79	1	0	0	0	2	0	3	25
ENSCPGE00000018620	GENE_ENSCPGE00000018620	transcript:ENSCPGT00000003046	protein_coding	0	0	1	86	7	0	0	41	7	1	0	0	0	0	0	0	31
ENSCPGE00000018752	GENE_ENSCPGE00000018752	transcript:ENSCPGT00000003066	protein_coding	0	2	2	191	1	0	0	21	137	2	0	0	0	0	0	2	32
ENSCPGE00000018832	GENE_ENSCPGE00000018832	transcript:ENSCPGT00000003112	protein_coding	0	6	1	211	0	0	0	23	175	1	0	0	0	0	0	6	13
ENSCPGE00000019149	GENE_ENSCPGE00000019149	transcript:ENSCPGT00000003126	protein_coding	0	7	12	207	6	0	0	23	158	12	0	0	0	0	0	7	20
ENSCPGE00000019149	GENE_ENSCPGE00000019149	transcript:ENSCPGT00000003149	protein_coding	0	7	12	207	6	0	0	23	158	12	0	0	0	0	0	7	20
ENSCPGE00000019508	GENE_ENSCPGE00000019508	transcript:ENSCPGT00000003184	protein_coding	0	8	1	198	1	0	1	32	146	1	0	0	0	2	0	6	20
ENSCPGE00000019606	GENE_ENSCPGE00000019606	transcript:ENSCPGT00000003195	protein_coding	0	5	1	313	0	0	0	29	246	1	0	0	0	1	0	4	39
ENSCPGE00000019676	GENE_ENSCPGE00000019676	transcript:ENSCPGT00000003203	protein_coding	0	3	1	222	0	0	0	29	179	1	0	0	0	0	0	3	14
ENSCPGE00000019714	GENE_ENSCPGE00000019714	transcript:ENSCPGT00000003224	protein_coding	0	0	1	49	0	0	0	23	8	1	0	0	0	0	0	0	18
ENSCPGE00000019885	GENE_ENSCPGE00000019885	transcript:ENSCPGT00000003245	protein_coding	0	1	0	69	0	0	0	25	23	0	0	0	0	0	0	1	21
ENSCPGE00000019928	GENE_ENSCPGE00000019928	transcript:ENSCPGT00000003249	protein_coding	0	3	2	67	1	0	0	22	17	2	0	0	0	1	0	2	28
ENSCPGE00000019976	GENE_ENSCPGE00000019976	transcript:ENSCPGT00000003261		0	0	0	54	0	0	0	27	0	0	0	0	0	0	0	0	27
ENSCPGE00000020040	GENE_ENSCPGE00000020040	transcript:ENSCPGT00000003268	protein_coding	0	2	3	42	1	0	1	14	10	3	0	0	0	0	0	2	16
ENSCPGE00000020063	GENE_ENSCPGE00000020063	transcript:ENSCPGT00000003274	protein_coding	0	2	2	47	0	0	0	23	14	2	0	0	0	0	0	2	10
ENSCPGE00000020063	GENE_ENSCPGE00000020063	transcript:ENSCPGT00000003281	protein_coding	0	2	2	43	3	0	0	19	11	2	0	0	0	0	0	2	10
ENSCPGE00000020126	GENE_ENSCPGE00000020126	transcript:ENSCPGT00000003290		0	0	0	46	0	0	0	24	0	0	0	0	0	0	0	0	22
ENSCPGE00000020229	GENE_ENSCPGE00000020229	transcript:ENSCPGT00000003303	protein_coding	0	10	1	298	0	0	0	47	214	1	0	0	0	2	0	9	38
ENSCPGE00000020426	GENE_ENSCPGE00000020426	transcript:ENSCPGT00000003331	protein_coding	0	3	1	405	8	0	0	39	329	1	0	0	0	0	0	3	29
ENSCPGE00000020458	GENE_ENSCPGE00000020458	transcript:ENSCPGT00000003339	protein_coding	0	11	2	2821	2	0	2	45	2739	2	0	0	0	3	0	9	35
ENSCPGE00000020763	GENE_ENSCPGE00000020763	transcript:ENSCPGT00000003377	protein_coding	0	4	7	249	4	0	1	20	206	7	0	0	0	0	0	4	18
ENSCPGE00000020818	GENE_ENSCPGE00000020818	transcript:ENSCPGT00000003390	protein_coding	0	2	2	190	1	0	1	19	152	2	0	0	0	0	0	2	17
ENSCPGE00000020880	GENE_ENSCPGE00000020880	transcript:ENSCPGT00000003399	protein_coding	0	0	0	85	0	0	0	27	20	0	0	0	0	0	0	0	38
ENSCPGE00000020958	GENE_ENSCPGE00000020958	transcript:ENSCPGT00000003408	protein_coding	0	3	1	100	1	0	0	24	48	1	0	0	0	3	0	1	29
ENSCPGE00000020958	GENE_ENSCPGE00000020958	transcript:ENSCPGT00000003410	protein_coding	0	5	2	80	1	1	6	24	20	2	0	0	0	3	0	2	31
ENSCPGE00000020997	GENE_ENSCPGE00000020997	transcript:ENSCPGT00000003417	protein_coding	0	4	3	145	0	0	0	31	89	3	0	0	0	0	0	4	25
ENSCPGE00000021028	GENE_ENSCPGE00000021028	transcript:ENSCPGT00000003427	protein_coding	0	1	0	738	3	0	1	29	675	0	0	0	0	1	0	0	31
ENSCPGE00000021083	GENE_ENSCPGE00000021083	transcript:ENSCPGT00000003430	protein_coding	0	1	1	134	1	0	0	26	81	1	0	0	0	0	0	1	26
ENSCPGE00000023341	GENE_ENSCPGE00000023341	transcript:ENSCPGT00000003751	protein_coding	0	31	29	683	0	0	0	24	650	29	0	0	0	6	0	28	12
ENSCPGE00000023479	GENE_ENSCPGE00000023479	transcript:ENSCPGT00000003763	protein_coding	1	6	0	198	5	0	0	26	142	0	0	0	0	1	1	5	26
ENSCPGE00000023516	GENE_ENSCPGE00000023516	transcript:ENSCPGT00000003769	protein_coding	1	6	0	178	5	0	0	26	130	0	0	0	0	1	1	5	18
ENSCPGE00000023561	GENE_ENSCPGE00000023561	transcript:ENSCPGT00000003780	protein_coding	0	0	0	94	0	0	0	25	36	0	0	0	0	0	0	0	33
ENSCPGE00000023637	GENE_ENSCPGE00000023637	transcript:ENSCPGT00000003790	protein_coding	0	1	1	93	5	0	0	25	33	1	0	0	0	0	0	1	30
ENSCPGE00000023736	GENE_ENSCPGE00000023736	transcript:ENSCPGT00000003797	protein_coding	0	2	4	229	0	0	0	31	170	4	0	0	0	0	0	2	28
ENSCPGE00000023736	GENE_ENSCPGE00000023736	transcript:ENSCPGT00000003805	protein_coding	0	2	4	229	0	0	0	31	170	4	0	0	0	0	0	2	28
ENSCPGE00000023845	GENE_ENSCPGE00000023845	transcript:ENSCPGT00000003821	protein_coding	0	4	3	465	0	0	0	31	405	3	0	0	0	0	0	4	29
ENSCPGE00000023860	GENE_ENSCPGE00000023860	transcript:ENSCPGT00000003824	protein_coding	0	2	0	94	0	0	1	28	43	0	0	0	0	0	0	2	22
ENSCPGE00000023893	GENE_ENSCPGE00000023893	transcript:ENSCPGT00000003834	protein_coding	0	2	2	128	0	0	0	20	73	2	0	0	0	1	0	2	35
ENSCPGE00000024006	GENE_ENSCPGE00000024006	transcript:ENSCPGT00000003848	protein_coding	0	4	1	369	0	0	1	34	323	1	0	0	0	1	0	3	12
ENSCPGE00000024068	GENE_ENSCPGE00000024068	transcript:ENSCPGT00000003860	protein_coding	0	4	1	369	0	0	0	34	324	1	0	0	0	1	0	3	12
ENSCPGE00000024237	GENE_ENSCPGE00000024237	transcript:ENSCPGT00000003888	protein_coding	1	6	5	489	1	0	2	30	414	5	0	0	1	1	0	6	43
ENSCPGE00000024337	GENE_ENSCPGE00000024337	transcript:ENSCPGT00000003904	protein_coding	0	1	0	331	0	0	2	34	273	0	0	0	0	1	0	0	23
ENSCPGE00000024454	GENE_ENSCPGE00000024454	transcript:ENSCPGT00000003915	protein_coding	0	0	1	244	0	0	4	37	157	1	0	0	0	0	0	0	46
ENSCPGE00000024454	GENE_ENSCPGE00000024454	transcript:ENSCPGT00000003923	protein_coding	0	0	1	180	0	0	1	37	125	1	0	0	0	0	0	0	17
ENSCPGE00000024538	GENE_ENSCPGE00000024538	transcript:ENSCPGT00000003936	protein_coding	0	0	2	175	4	0	2	8	149	2	0	0	0	0	0	0	12
ENSCPGE00000024599	GENE_ENSCPGE00000024599	transcript:ENSCPGT00000003958		0	0	0	64	0	0	0	29	0	0	0	0	0	0	0	0	35
ENSCPGE00000024614	GENE_ENSCPGE00000024614	transcript:ENSCPGT00000003961	protein_coding	0	1	0	68	0	0	0	17	35	0	0	0	0	1	0	0	17
ENSCPGE00000024721	GENE_ENSCPGE00000024721	transcript:ENSCPGT00000003972	protein_coding	0	0	2	68	1	0	0	29	1	2	0	0	0	0	0	0	37
ENSCPGE00000024788	GENE_ENSCPGE00000024788	transcript:ENSCPGT00000003980	protein_coding	0	3	4	67	2	0	1	36	12	4	0	0	0	1	0	2	17
ENSCPGE00000024876	GENE_ENSCPGE00000024876	transcript:ENSCPGT00000003997	protein_coding	0	5	0	199	9	0	0	22	127	0	0	0	0	1	0	5	41
ENSCPGE00000024876	GENE_ENSCPGE00000024876	transcript:ENSCPGT00000003998	protein_coding	0	5	0	134	9	0	0	22	82	0	0	0	0	1	0	5	21
ENSCPGE00000024941	GENE_ENSCPGE00000024941	transcript:ENSCPGT00000004004	protein_coding	0	1	1	106	3	0	2	39	38	1	0	0	0	0	0	1	24
ENSCPGE00000024968	GENE_ENSCPGE00000024968	transcript:ENSCPGT00000004012	protein_coding	0	1	1	408	6	0	1	36	331	1	0	0	0	0	0	1	34
ENSCPGE00000025015	GENE_ENSCPGE00000025015	transcript:ENSCPGT00000004018	protein_coding	0	1	2	244	2	0	0	41	168	2	0	0	0	0	0	1	33
ENSCPGE00000025225	GENE_ENSCPGE00000025225	transcript:ENSCPGT00000004043	protein_coding	0	9	5	1274	1	0	1	25	1225	5	0	0	0	3	0	7	24
ENSCPGE00000025225	GENE_ENSCPGE00000025225	transcript:ENSCPGT00000004067	protein_coding	0	9	5	1274	1	0	1	25	1225	5	0	0	0	3	0	7	24
ENSCPGE00000025225	GENE_ENSCPGE00000025225	transcript:ENSCPGT00000004114	protein_coding	0	9	5	1274	1	0	1	25	1225	5	0	0	0	3	0	7	24
ENSCPGE00000025225	GENE_ENSCPGE00000025225	transcript:ENSCPGT00000004148	protein_coding	0	9	4	1275	1	0	1	25	1226	4	0	0	0	3	0	7	24
ENSCPGE00000026483	GENE_ENSCPGE00000026483	transcript:ENSCPGT00000004800	protein_coding	0	5	5	313	0	0	0	35	235	5	0	0	0	1	0	4	44
ENSCPGE00000030329	GENE_ENSCPGE00000030329	transcript:ENSCPGT00000004818	protein_coding	0	5	5	300	0	0	0	35	226	5	0	0	0	1	0	4	40
ENSCPGE00000030441	GENE_ENSCPGE00000030441	transcript:ENSCPGT00000004856	protein_coding	1	5	6	295	0	0	0	35	223	6	0	0	0	1	1	4	38
